FULLNAME,CLADE1,CLADE2,,,
Solanum refractifolium Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum refractum Hook. & Arn.,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum reineckii Briq.,Leptostemonum,Sisymbriifolium ,,,
Solanum reitzii L.B.Sm. & Downs,Geminata,Geminata,,,
Solanum remyanum Phil.,Potato,Regmandra,,,
Solanum repandum G.Forst.,Leptostemonum,Lasiocarpa,,,
Solanum reptans Bunbury,Nemorense,Nemorense,,,
Solanum restingae S.Knapp,Geminata,Geminata,,,
Solanum retroflexum Dunal,Morelloid,Section Solanum,,,
Solanum retrorsum Elmer,Leptostemonum,EHS-Tropical Asia,,,
Solanum rhaphiotes A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum rhizomatum S?rkinen & M.Nee,Morelloid,Section Solanum,,,
Solanum rhomboideilanceolatum Ochoa,Potato,Petota,,,
Solanum rhytidoandrum Sendtn.,Leptostemonum,Erythrotrichum,,,
Solanum richardii Dunal [3],Leptostemonum,EHS-Africa,,,
Solanum rigidum Lam.,Leptostemonum,EHS-Africa,,,
Solanum riojense Bitter,Morelloid,Episarcophyllum,,,
Solanum riparium Pers.,Brevantherum,Brevantherum s.s.,,,
Solanum ripense Dunal,Geminata,Geminata,,,
Solanum rivicola Symon,Leptostemonum,EHS-New Guinea,,,
Solanum rixosum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum robinsonii Bonati,Leptostemonum,EHS-Tropical Asia,,,
Solanum roblense Bitter,Geminata,Geminata,,,
Solanum robustifrons Bitter,Geminata,Geminata,,,
Solanum robustum H.L.Wendl.,Leptostemonum,Erythrotrichum,,,
Solanum rojasianum (Standl. & Steyerm.) Bohs,Cyphomandra,Pachyphylla,,,
Solanum roseum Bohs,Cyphomandra,Pachyphylla,,,
Solanum rostratum Dunal,Leptostemonum,Androceras-Crinitum,,,
Solanum rovirosanum Donn.Sm.,Geminata,Geminata,,,
Solanum rubetorum Dunal,Leptostemonum,EHS-Africa,,,
Solanum rubicaule S.Stern,Leptostemonum,Torva,,,
Solanum rubiginosum Vahl,Leptostemonum,Erythrotrichum,,,
Solanum rudepannum Dunal,Leptostemonum,Torva,,,
Solanum rufescens Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum rugosum Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum ruizii S.Knapp,Dulcamaroid,Nitidum,,,
Solanum runsoriense C.H.Wright,African non-spiny,African non-spiny,,,
Solanum rupincola Sendtn.,Leptostemonum,Thomasiifolium,,,
Solanum ruvu Voronts.,Leptostemonum,EHS-Africa,,,
Solanum sagittantherum Granados-Tochoy & C.I.Orozco,Geminata,Geminata,,,
Solanum salamancae Hunz. & Barboza,Morelloid,Section Solanum,,,
Solanum salasianum Ochoa,Potato,Petota,,,
Solanum salicifolium Phil.,Morelloid,Section Solanum,,,
Solanum saltiense S.Moore,Brevantherum,Brevantherum s.s.,,,
Solanum sambiranense D'Arcy & Rakot.,African non-spiny,African non-spiny,,,
Solanum sambuciflorum Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum sanchez-vegae S.Knapp,Dulcamaroid,Dulcamaroid,,,
Solanum sanctae-catharinae,,,,,
Solanum sanctaecatharinae Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum sanctae-marthae,,,,,
Solanum sanctaemarthae Bitter,Potato,Basarthrum,,,
Solanum sandwicense Hook. & Arn.,Leptostemonum,EHS-Irenosolanum,,,
Solanum santosii S.Knapp,Geminata,Geminata,,,
Solanum saponaceum Dunal,Leptostemonum,Torva,,,
Solanum sarrachoides Sendtn.,Morelloid,Section Solanum,,,
Solanum saruwagedensis Symon,Leptostemonum,EHS-New Guinea,,,
Solanum saturatum M.Nee,Leptostemonum,Torva,,,
Solanum savanillense Bitter,Potato,Pteroidea,,,
Solanum savannarum Ribeiro-Silva & Proena,Leptostemonum,Acanthophora,,,
Solanum scabrifolium Ochoa,Potato,Petota,,,
Solanum scabrum Mill. [4],Morelloid,Section Solanum,,,
Solanum schefferi F.Muell.,Leptostemonum,EHS-New Guinea,,,
Solanum schenckii Bitter,Potato,Petota,,,
Solanum schimperianum Hochst. ex A.Rich.,Leptostemonum,EHS-Africa,,,
Solanum schizandrum Sendtn.,Leptostemonum,Thomasiifolium,,,
Solanum schlechtendalianum Walp.,Brevantherum,Brevantherum s.s.,,,
Solanum schliebenii Werderm.,Leptostemonum,EHS-Africa,,,
Solanum schomburghii Sendtn.,Leptostemonum,Gardneri,,,
Solanum schuechii Sendtn.,Leptostemonum,Thomasiifolium,,,
Solanum schulzianum Urb.,Leptostemonum,Leptostemonum_unplaced,,,
Solanum schumannianum Dammer,Leptostemonum,EHS-Africa,,,
Solanum schwackei Glaz.,Brevantherum,Brevantherum s.s.,,,
Solanum sciadostylis (Sendtn.) Bohs,Cyphomandra,Pachyphylla,,,
Solanum scolophyllum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum scuticum M.Nee,Leptostemonum,Torva,,,
Solanum seaforthianum Andrews,Dulcamaroid,South American,,,
Solanum sejunctum Brennan, Martine & Symon,Leptostemonum,EHS-Australia,,
Solanum selachophyllum Bitter,Brevantherum,Brevantherum s.s.,,,
Solanum selleanum Urb. & Ekman,Leptostemonum,Leptostemonum_unplaced,,,
Solanum sellovianum Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum sellowii Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum semiarmatum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum semisucculentum D.McClelland,Leptostemonum,,,,
Solanum semotum M.Nee,Brevantherum,Brevantherum s.s.,,,
Solanum sendtnerianum Van Heurck & MÙll.Arg.,Leptostemonum,Androceras-Crinitum,,,
Solanum senticosum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum septemlobum Bunge,Dulcamaroid,Dulcamaroid,,,
Solanum sericeum Ruiz & Pav.,Potato,Basarthrum,,,
Solanum serpens A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum sessile Ruiz & Pav.,Geminata,Geminata,,,
Solanum sessiliantherum Gouva & Stehmann,Leptostemonum,Asterophorum,,,
Solanum sessiliflorum Dunal,Leptostemonum,Lasiocarpa,,,
Solanum setaceum Dammer,Leptostemonum,EHS-Africa,,,
Solanum setigeroides (Whalen) S.Stern,Leptostemonum,Androceras-Crinitum,,,
Solanum setosissimum L.A.Mentz & M.Nee,Leptostemonum,Acanthophora,,,
Solanum shirleyanum Domin,Leptostemonum,EHS-Australia,,,
Solanum sibundoyense (Bohs) Bohs,Cyphomandra,Pachyphylla,,,
Solanum sieberi Van Heurck & MÙll.Arg.,Geminata,Geminata,,,
Solanum silvestre A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum simile F.Muell.,Archaesolanum,Archaesolanum,,,
Solanum simplicissimum Ochoa,Potato,Petota,,,
Solanum sinuatiexcisum Bitter,Morelloid,Section Solanum,,,
Solanum sinuatirecurvum Bitter,Morelloid,Episarcophyllum,,,
Solanum siphonobasis Bitter,Potato,Anarrhichomenum,,,
Solanum sisymbriifolium Lam.,Leptostemonum,Sisymbriifolium,,,
Solanum sitiens I.M.Johnst.,Potato,Tomato,,,
Solanum skutchii Correll,Potato,Basarthrum,,,
Solanum smithii S.Knapp,Geminata,Geminata,,,
Solanum sodiroi Bitter,Potato,Anarrhichomenum,,,
Solanum sodomeodes Kuntze,Leptostemonum,EHS-Africa,,,
Solanum sogarandinum Ochoa,Potato,Petota,,,
Solanum solum J.F.Macbr.,Brevantherum,Brevantherum s.s.,,,
Solanum somalense Franch.,Leptostemonum,EHS-Africa,,,
Solanum sooretamum Carvalho,Brevantherum,Brevantherum s.s.,,,
Solanum sotobosquense Bohs,Geminata,Geminata,,,
Solanum sousae S.Knapp,Dulcamaroid,Dulcamaroid,,,
Solanum spirale Roxb.,Geminata,Geminata,,,
Solanum spissifolium Sendtn.,Geminata,Geminata,,,
Solanum splendens (Dunal) Bohs,Cyphomandra,Pachyphylla,,,
Solanum sporadotrichum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum stagnale Moric.,Leptostemonum,Erythrotrichum,,,
Solanum stellatiglandulosum Bitter,Leptostemonum,Torva,,,
Solanum stellativelutinum Bitter,Leptostemonum,Torva,,,
Solanum stelligerum Sm.,Leptostemonum,EHS-Australia,,,
Solanum stenandrum Sendtn.,Leptostemonum,Gardneri,,,
Solanum stenophyllidium Bitter,Potato,Petota,,,
Solanum stenophyllum Dunal,Dulcamaroid,Nitidum,,,
Solanum stenopterum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum steyermarkii Carvalho,Brevantherum,Brevantherum s.s.,,,
Solanum stipitatostellatum Dammer,Leptostemonum,EHS-Africa,,,
Solanum stipulaceum Willd.,Brevantherum,Brevantherum s.s.,,,
Solanum stipulatum Vell.,Geminata,Geminata,,,
Solanum stipuloideum Rusby,Potato,Petota,,,
Solanum stoloniferum Schltdl.,Potato,Petota,,,
Solanum storkii C.V.Morton & Standl.,Dulcamaroid,Nitidum,,,
Solanum stramoniifolium Jacq. [5],Leptostemonum,Lasiocarpa,,,
Solanum stuckertii Bitter,Cyphomandra,Cyphomandropsis,,,
Solanum stupefactum Symon,Leptostemonum,EHS-Australia,,,
Solanum sturtianum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum suaveolens Kunth & C.D.Bouch?,Potato,Basarthrum,,,
Solanum subinerme Jacq.,Leptostemonum,Torva,,,
Solanum sublentum Hiern,Leptostemonum,Erythrotrichum,,,
Solanum subserratum Dunal,Leptostemonum,Erythrotrichum,,,
Solanum subsylvestre L.B.Sm. & Downs,Brevantherum,Brevantherum s.s.,,,
Solanum subtusviolaceum Bitter,Morelloid,Section Solanum,,,
Solanum subumbellatum Vell.,Leptostemonum,Torva,,,
Solanum subvelutinum Rydb.,Potato,Anarrhichomenum,,,
Solanum succosum A.R.Bean & Albr.,Leptostemonum,EHS-Australia,,,
Solanum sulphureum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum sumacaspi S.Knapp,Geminata,Geminata,,,
Solanum superbum S.Knapp,Geminata,Geminata,,,
Solanum supinum Dunal,Leptostemonum,EHS-Africa,,,
Solanum swartzianum Roem. & Schult.,Brevantherum,Brevantherum s.s.,,,
Solanum sycocarpum Mart. & Sendtn.,Cyphomandra,Pachyphylla,,,
Solanum sycophanta Dunal,Leptostemonum,Androceras-Crinitum,,,
Solanum symmetricum Rusby,Geminata,Geminata,,,
Solanum symonii H.Eichler,Archaesolanum,Archaesolanum,,,
Solanum tabanoense Correll,Potato,Basarthrum,,,
Solanum tacanense Lundell,Potato,Basarthrum,,,
Solanum taeniotrichum Correll,Potato,Basarthrum,,,
Solanum taitense Vatke,Leptostemonum,EHS-Africa,,,
Solanum talarense Svenson,Leptostemonum,Gardneri,,,
Solanum tampicense Dunal,Leptostemonum,Micracantha,,,
Solanum tanysepalum S.Knapp,Geminata,Geminata,,,
Solanum tarderemotum Bitter,Morelloid,Section Solanum,,,
Solanum tarnii Hawkes & Hjert.,Potato,Petota,,,
Solanum tegore Aubl.,Cyphomandra,Pachyphylla,,,
Solanum tenuiflagellatum S.Knapp,Geminata,Geminata,,,
Solanum tenuipes Bartlett,Leptostemonum,Androceras-Crinitum,,,
Solanum tenuisetosum (Bitter) Bohs,Cyphomandra,Pachyphylla,,,
Solanum tenuispinum Rusby,Leptostemonum,Acanthophora,,,
Solanum tenuissimum Sendtn.,Leptostemonum,Acanthophora,,,
Solanum tepuiense S.Knapp,Geminata,Geminata,,,
Solanum tergosericeum Ochoa,Potato,Basarthrum,,,
Solanum terminale Forssk.,African non-spiny,African non-spiny,,,
Solanum ternatum Ruiz & Pav.,Potato,Pteroidea,,,
Solanum terraneum Symon,Leptostemonum,EHS-Australia,,,
Solanum tetramerum Dunal,Leptostemonum,Gardneri,,,
Solanum tetrandrum R.Br.,Leptostemonum,EHS-New Guinea,,,
Solanum tetrathecum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum tetricum Dunal,Leptostemonum,Synonym of S. asterophorum,,,
Solanum tettense Klotzsch,Leptostemonum,EHS-Africa,,,
Solanum thelopodium Sendtn.,Thelopodium,Thelopodium,,,
Solanum thomasiifolium Sendtn.,Leptostemonum,Thomasiifolium,,,
Solanum thomsonii C.H.Wright,Leptostemonum,EHS-Africa,,,
Solanum tiinae Barboza & S. Knapp,Morelloid,,,,
Solanum tobagense (Sandwith) Bohs,Cyphomandra,Pachyphylla,,,
Solanum toldense Mates. & Barboza,Leptostemonum,Torva,,,
Solanum toliaraea D'Arcy & Rakot.,Leptostemonum,EHS-Madagascar,,,
Solanum tomentosum L. [3],Leptostemonum,EHS-Africa,,,
Solanum torreanum A.E.Gon.,Leptostemonum,EHS-Africa,,,
Solanum torricellense Bitter,Leptostemonum,EHS-Dunaliana,,,
Solanum torvoideum Merr. & L.M.Perry,Leptostemonum,Torva,,,
Solanum torvum Sw. [3],Leptostemonum,Torva,,,
Solanum tovarii S.Knapp,Geminata,Geminata,,,
Solanum trachycarpum Bitter & Sodiro,Potato,Basarthrum,,,
Solanum trachycyphum Bitter,Brevantherum,Brevantherum s.s.,,,
Solanum trachytrichium Bitter,Brevantherum,Brevantherum s.s.,,,
Solanum tribulosum Schauer,Leptostemonum,Androceras-Crinitum,,,
Solanum trichoneuron Lillo,Geminata,Geminata,,,
Solanum trichopetiolatum,African non-spiny,African non-spiny,,,
Solanum trichostylum Merr. & L.M.Perry,Leptostemonum,EHS-New Guinea,,,
Solanum tricuspidatum Dunal,Leptostemonum,Androceras-Crinitum,,,
Solanum trifidum Correll,Potato,Petota,,,
Solanum triflorum Nutt.,Morelloid,Morelloid,,,
Solanum trifolium Dunal,Potato,Herpystichum,,,
Solanum trilobatum L.,Leptostemonum,EHS-Tropical Asia,,,
Solanum trinitense Ochoa,Potato,Petota,,,
Solanum trinominum J.R.Benn.,Potato,Regmandra,,,
Solanum tripartitum Dunal,Morelloid,Radicans group,,,
Solanum triplinervium C.V.Morton,Geminata,Geminata,,,
Solanum triquetrum Cav.,Dulcamaroid,South American,,,
Solanum trisectum Dunal,Normania,Normania,,,
Solanum triste Jacq.,Geminata,Geminata,,,
Solanum triunfense S.Knapp,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum trizygum Bitter,Potato,Pteroidea,,,
Solanum troyanum Urb.,Geminata,Geminata,,,
Solanum truncatum Standl. & C.V.Morton,Leptostemonum,Torva,,,
Solanum truncicola Bitter,African non-spiny,African non-spiny,,,
Solanum tuberosum L.,Potato,Petota,,,
Solanum tudununggae Symon,Leptostemonum,EHS-Australia,,,
Solanum tuerckheimii Greenm.,Geminata,Geminata,,,
Solanum tumulicola Symon,Leptostemonum,EHS-Australia,,,
Solanum tunariense Kuntze,Geminata,Geminata,,,
Solanum turgidum S.Knapp,Geminata,Geminata,,,
Solanum turneroides Chodat,Brevantherum,Gonatotrichum,,,
Solanum tweedieanum Hook.,Morelloid,Section Solanum,,,
Solanum uleanum Bitter,Potato,Pteroidea,,,
Solanum ultimum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum ultraspinosum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum umalilaense Manoko,Morelloid,Section Solanum,,,
Solanum umbellatum Mill. [3],Brevantherum,Brevantherum s.s.,,,
Solanum umbelliferum Eschsch.,Dulcamaroid,Dulcamaroid,,,
Solanum umbratile J.R.Johnst.,Brevantherum,Brevantherum s.s.,,,
Solanum umtuma Voronts. & S.Knapp,Leptostemonum,EHS-Africa,,,
Solanum uncinellum Lindl.,Dulcamaroid,South American,,,
Solanum unifoliatum S.Knapp,Geminata,Geminata,,,
Solanum unilobum (Rusby) Bohs,Cyphomandra,Pachyphylla,,,
Solanum unispinum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum urens Dunal,Leptostemonum,Leptostemonum_unplaced,,,
Solanum ursinum Rusby,Leptostemonum,Torva,,,
Solanum urticans Dunal,Leptostemonum,Androceras-Crinitum,,,
Solanum urubambaense Agra,Leptostemonum,Erythrotrichum,,,
Solanum usambarense Bitter & Dammer,Leptostemonum,EHS-Africa,,,
Solanum usaramense Dammer,Leptostemonum,EHS-Africa,,,
Solanum vacciniiflorum Standl. & L.O.Williams,Geminata,Geminata,,,
Solanum vaccinioides Schltr.,Leptostemonum,EHS-Irenosolanum,,,
Solanum vaillantii Dunal,Leptostemonum,Acanthophora,,,
Solanum valdiviense Dunal,Valdiviense,Valdiviense,,,
Solanum valerianum C.V.Morton & Standl.,Geminata,Geminata,,,
Solanum validinervium BenÕtez & S.Knapp,Geminata,Geminata,,,
Solanum vansittartense C.A.Gardner,Leptostemonum,EHS-Australia,,,
Solanum vanuatuense  D.McClelland,Leptostemonum,,,,
Solanum variabile Mart.,Leptostemonum,Torva,,,
Solanum velardei Ochoa,Potato,Petota,,,
Solanum velleum Thunb.,Leptostemonum,Erythrotrichum,,,
Solanum vellozianum Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum velutinum Dunal,Leptostemonum,Erythrotrichum,,,
Solanum velutissimum Rusby,Brevantherum,Brevantherum s.s.,,,
Solanum venosum Dunal,Geminata,Geminata,,,
Solanum venturii Hawkes & Hjert.,Potato,Petota,,,
Solanum verecundum M.Nee,Brevantherum,Brevantherum s.s.,,,
Solanum vernei Bitter & Wittm.,Potato,Petota,,,
Solanum verrucosum Schltdl.,Potato,Petota,,,
Solanum versicolor A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum verticillatum S.Knapp & Stehmann,Geminata,Geminata,,,
Solanum vescum F.Muell.,Archaesolanum,Archaesolanum,,,
Solanum vespertilio Aiton,Leptostemonum,EHS,,,
Solanum vestissimum Dunal,Leptostemonum,Lasiocarpa,,,
Solanum viarum Dunal,Leptostemonum,Acanthophora,,,
Solanum vicinum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum villosum Mill. [6],Morelloid,Section Solanum,,,
Solanum violaceimarmoratum Bitter,Potato,Petota,,,
Solanum violaceum Ortega [4],Leptostemonum,EHS-Tropical Asia,,,
Solanum virginianum L.,Leptostemonum,EHS-Tropical Asia,,,
Solanum viride Spreng. [4],Leptostemonum,EHS-Irenosolanum,,,
Solanum viridifolium Dunal,Leptostemonum,EHS-Dunaliana,,,
Solanum viscosissimum Sendtn.,Dulcamaroid,South American,,,
Solanum volubile Sw. [3],Leptostemonum,Micracantha,,,
Solanum wackettii Witasek,Leptostemonum,Torva,,,
Solanum Waemulans Bitter & Wittm.,Potato,Petota,,,
Solanum wallacei (A.Gray) Parish,Dulcamaroid,Dulcamaroid,,,
Solanum warmingii Hiern,Geminata,Geminata,,,
Solanum watneyi Martine & Frawley,Leptostemonum,EHS-Australia,,,
Solanum Wblanco-galdosii Ochoa,Potato,Petota,,,
Solanum Wbrucheri Correll,Potato,Petota,,,
Solanum Wdoddsii Correll,Potato,Petota,,,
Solanum weddellii Phil.,Morelloid,Chamaesarachidium,,,
Solanum Wedinense Berthault,Potato,Petota,,,
Solanum wendlandii Hook.f.,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum whalenii M.Nee,Leptostemonum,Torva,,,
Solanum wightii Nees,Leptostemonum,EHS-Tropical Asia,,,
Solanum wilkinsii S.Moore,Leptostemonum,EHS-Australia,,,
Solanum wittei Robyns,Leptostemonum,EHS-Africa,,,
Solanum wittmackii Bitter,Potato,Petota,,,
Solanum Wneoweberbaueri Wittm.,Potato,Petota,,,
Solanum woodburyi Howard,Leptostemonum,Crotonoides,,,
Solanum woodii S?rkinen & S.Knapp,Morelloid,Section Solanum,,,
Solanum woodsonii Correll,Potato,Petota,,,
Solanum Wprocurrens A.C.Leslie,Morelloid,Section Solanum,,,
Solanum Wrechei Hawkes & Hjert.,Potato,Petota,,,
Solanum wrightii Benth.,Leptostemonum,Androceras-Crinitum,,,
Solanum Wsambucinum Rydb.,Potato,Petota,,,
Solanum Wvallis-mexici Juz.,Potato,Petota,,,
Solanum xanthophaeum Bitter,Geminata,Geminata,,,
Solanum yanamonense S.Knapp,Geminata,Geminata,,,
Solanum youngii S.Knapp,Geminata,Geminata,,,
Solanum zanzibarense Vatke,Leptostemonum,EHS-Africa,,,
Solanum zoeae R.L.Barrett,Leptostemonum,EHS-Australia,,,
Solanum zuloagae Cabrera,Morelloid,Section Solanum,,,
Solanum zumbense Bohs,Cyphomandra,Pachyphylla,,,
